# Alerts will appear here when suspicious activity is detected
[2026-03-19 16:53:29] SYN_FLOOD | Source: 10.0.2.15 | Port: N/A
[2026-03-19 16:53:29] SUSPICIOUS_IP_ACTIVITY | Source: 10.0.2.15 | Port: N/A
[2026-03-19 16:53:30] PORT_SCAN | Source: 10.0.2.15 | Port: 6
[2026-03-19 16:55:00] SUSPICIOUS_IP_ACTIVITY | Source: 10.0.2.15 | Port: N/A
[2026-03-19 16:55:00] SYN_FLOOD | Source: 10.0.2.15 | Port: N/A
[2026-03-19 16:55:01] PORT_SCAN | Source: 10.0.2.15 | Port: 5
[2026-03-19 16:56:21] SUSPICIOUS_IP_ACTIVITY | Source: 10.0.2.15 | Port: N/A
[2026-03-19 17:46:01] SUSPICIOUS_IP_ACTIVITY | Source: 10.0.2.15 | Port: N/A
[2026-03-19 17:46:11] SUSPICIOUS_IP_ACTIVITY | Source: 10.0.2.15 | Port: N/A
[2026-03-19 17:46:22] SUSPICIOUS_IP_ACTIVITY | Source: 10.0.2.15 | Port: N/A
[2026-03-19 17:46:32] SUSPICIOUS_IP_ACTIVITY | Source: 10.0.2.15 | Port: N/A
[2026-03-19 17:46:42] SUSPICIOUS_IP_ACTIVITY | Source: 10.0.2.15 | Port: N/A
[2026-03-19 17:46:52] SUSPICIOUS_IP_ACTIVITY | Source: 10.0.2.15 | Port: N/A
[2026-03-19 17:47:03] SUSPICIOUS_IP_ACTIVITY | Source: 10.0.2.15 | Port: N/A
[2026-03-19 17:47:13] SUSPICIOUS_IP_ACTIVITY | Source: 10.0.2.15 | Port: N/A
[2026-03-19 17:47:23] SUSPICIOUS_IP_ACTIVITY | Source: 10.0.2.15 | Port: N/A
[2026-03-19 17:47:33] SUSPICIOUS_IP_ACTIVITY | Source: 10.0.2.15 | Port: N/A
[2026-03-19 17:47:44] SUSPICIOUS_IP_ACTIVITY | Source: 10.0.2.15 | Port: N/A
[2026-03-19 17:48:44] SUSPICIOUS_IP_ACTIVITY | Source: 10.0.2.15 | Port: N/A
[2026-03-19 17:48:55] SUSPICIOUS_IP_ACTIVITY | Source: 10.0.2.15 | Port: N/A
[2026-03-19 17:49:43] SUSPICIOUS_IP_ACTIVITY | Source: 10.0.2.15 | Port: N/A
[2026-03-19 17:49:58] SUSPICIOUS_IP_ACTIVITY | Source: 10.0.2.15 | Port: N/A
[2026-03-19 17:50:41] SUSPICIOUS_IP_ACTIVITY | Source: 10.0.2.15 | Port: N/A
[2026-03-19 17:50:56] SUSPICIOUS_IP_ACTIVITY | Source: 10.0.2.15 | Port: N/A
[2026-03-19 17:51:35] SUSPICIOUS_IP_ACTIVITY | Source: 10.0.2.15 | Port: N/A
[2026-03-19 17:51:51] SUSPICIOUS_IP_ACTIVITY | Source: 10.0.2.15 | Port: N/A
[2026-03-19 17:59:02] SUSPICIOUS_IP_ACTIVITY | Source: 10.0.2.15 | Port: N/A
[2026-03-19 18:09:08] SUSPICIOUS_IP_ACTIVITY | Source: 10.0.2.15 | Port: N/A
[2026-03-19 18:16:03] SUSPICIOUS_IP_ACTIVITY | Source: 10.0.2.15 | Port: N/A
[2026-03-19 18:19:00] SUSPICIOUS_IP_ACTIVITY | Source: 10.0.2.15 | Port: N/A
[2026-03-19 18:19:10] SUSPICIOUS_IP_ACTIVITY | Source: 10.0.2.15 | Port: N/A
[2026-03-19 18:20:14] SUSPICIOUS_IP_ACTIVITY | Source: 10.0.2.15 | Port: N/A
[2026-03-19 18:21:12] SUSPICIOUS_IP_ACTIVITY | Source: 10.0.2.15 | Port: N/A
[2026-03-19 18:22:06] SUSPICIOUS_IP_ACTIVITY | Source: 10.0.2.15 | Port: N/A
[2026-03-19 18:22:28] SUSPICIOUS_IP_ACTIVITY | Source: 10.0.2.15 | Port: N/A
[2026-03-26 20:04:38] SYN_FLOOD | Source: 10.0.2.15 | Port: N/A
[2026-03-26 20:04:38] SUSPICIOUS_IP_ACTIVITY | Source: 10.0.2.15 | Port: N/A
[2026-03-26 20:04:48] SUSPICIOUS_IP_ACTIVITY | Source: 10.0.2.15 | Port: N/A
[2026-03-26 20:04:58] SUSPICIOUS_IP_ACTIVITY | Source: 10.0.2.15 | Port: N/A
[2026-03-26 20:05:02] SYN_FLOOD | Source: 10.0.2.15 | Port: N/A
[2026-03-26 20:05:03] PORT_SCAN | Source: 151.101.157.91 | Port: 58164
[2026-03-26 20:05:03] SUSPICIOUS_IP_ACTIVITY | Source: 151.101.157.91 | Port: N/A
[2026-03-26 20:05:08] SUSPICIOUS_IP_ACTIVITY | Source: 10.0.2.15 | Port: N/A
[2026-03-26 20:05:18] SUSPICIOUS_IP_ACTIVITY | Source: 10.0.2.15 | Port: N/A
[2026-03-26 20:05:29] SUSPICIOUS_IP_ACTIVITY | Source: 10.0.2.15 | Port: N/A
[2026-03-26 20:05:39] SUSPICIOUS_IP_ACTIVITY | Source: 10.0.2.15 | Port: N/A
[2026-03-26 20:05:49] SUSPICIOUS_IP_ACTIVITY | Source: 10.0.2.15 | Port: N/A
[2026-03-26 20:05:59] SUSPICIOUS_IP_ACTIVITY | Source: 10.0.2.15 | Port: N/A
[2026-03-26 20:05:59] PORT_SCAN | Source: 151.101.157.91 | Port: 58032
[2026-03-26 20:05:59] SUSPICIOUS_IP_ACTIVITY | Source: 151.101.157.91 | Port: N/A
[2026-03-26 20:06:09] SUSPICIOUS_IP_ACTIVITY | Source: 10.0.2.15 | Port: N/A
[2026-03-26 20:06:12] SUSPICIOUS_IP_ACTIVITY | Source: 151.101.157.91 | Port: N/A
